"","TC_L","FPG_L","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"1","High TC",NA,0.634008122658439,0.390168745117585,0.996053588244088,20138,0,0
"2","Normal TC",NA,0.365991877341561,0.609831254882415,-0.996053588244088,11625,0,0
"3",NA,"Glucose 100-125",0.223951176137741,0.523808105827208,-1.33809186611065,5541,0,0
"4",NA,"Glucose<100",0.484681917387438,0.270072100041101,0.932965290741356,11992,0,0
"5",NA,"Glucose>=126",0.29136690647482,0.206119794131691,0.45972047689704,7209,6.01507193464964e-241,6.01507193464964e-241
"6","High TC","Glucose 100-125",0.141303908491977,0.21867031667688,-0.531070117526927,3496,1.6532512274115e-190,2.204334969882e-190
"7","High TC","Glucose<100",0.307182409765167,0.104229161628594,1.33776766003993,7600,0,0
"8","High TC","Glucose>=126",0.187623782385514,0.0672692668121111,1.16388832843626,4642,0,0
"9","Normal TC","Glucose 100-125",0.0826563194697062,0.306422216561888,-1.58989145745611,2045,0,0
"10","Normal TC","Glucose<100",0.177519097853765,0.167939261087813,0.0670560023444549,4392,5.55393824207994e-05,5.55393824207994e-05
"11","Normal TC","Glucose>=126",0.103714482033871,0.135469777232715,-0.303179566854797,2566,3.0081886396044e-48,3.4379298738336e-48
